Facilities,Amount,Comments,Sentiment
Entrance,7027,Madumi yung area nung dumating kami.,Negative
Event,17560,"Beautiful view and very friendly, helpful staff.",Positive
Hall Rental,26608,"Excellent facility, highly recommend to everyone!",Positive
Reservation,10696,"It was an okay stay, average service overall.",Neutral
Entrance,2044,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,28528,Sulit na sulit ang booking namin.,Positive
Event,11629,Medyo okay naman ang experience namin.,Neutral
Room,10172,"Standard amenities, fine experience for the price.",Neutral
Event,15697,Great value for money and a relaxing vibe.,Positive
Entrance,4475,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,13738,"It was an okay stay, average service overall.",Neutral
Event,17369,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,7112,The water was cloudy and the area was messy.,Negative
Event,23208,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,10014,Good location but service was just standard.,Neutral
Entrance,5007,The water was cloudy and the area was messy.,Negative
Event,17663,"The room was decent and normal, nothing special.",Neutral
Reservation,14683,"The room was decent and normal, nothing special.",Neutral
Reservation,21042,Walang kupas ang ganda ng pool area.,Positive
Reservation,9364,"The room was decent and normal, nothing special.",Neutral
Room,3416,"Dirty rooms, broken aircon, and bad smell.",Negative
Hall Rental,17374,"Standard amenities, fine experience for the price.",Neutral
Reservation,8205,"The room was decent and normal, nothing special.",Neutral
Event,8414,"Terrible and awful experience, would not go back.",Negative
Room,6141,The water was cloudy and the area was messy.,Negative
Hall Rental,13672,The facilities are fine but could be better.,Neutral
Hall Rental,17323,The facilities are fine but could be better.,Neutral
Event,27039,The service was perfect and absolutely amazing.,Positive
Entrance,16662,"The room was decent and normal, nothing special.",Neutral
Event,10690,Good location but service was just standard.,Neutral
Event,17896,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,18756,"Everything was superb, clean, and well-maintained.",Positive
Room,17428,"It was an okay stay, average service overall.",Neutral
Event,11847,"Standard amenities, fine experience for the price.",Neutral
Hall Rental,16312,Great value for money and a relaxing vibe.,Positive
Event,8670,"It was an okay stay, average service overall.",Neutral
Room,20043,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,6157,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,4529,The water was cloudy and the area was messy.,Negative
Entrance,7988,"Terrible and awful experience, would not go back.",Negative
Reservation,15963,"Excellent facility, highly recommend to everyone!",Positive
Event,22849,Sulit na sulit ang booking namin.,Positive
Room,9269,Medyo okay naman ang experience namin.,Neutral
Event,10479,Good location but service was just standard.,Neutral
Hall Rental,21736,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,28389,The service was perfect and absolutely amazing.,Positive
Hall Rental,3467,Mabagal ang serbisyo at medyo disappointing.,Negative
Room,17343,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,26649,Mabait at magalang ang mga staff dito.,Positive
Room,13445,Good location but service was just standard.,Neutral
Entrance,6078,Madumi yung area nung dumating kami.,Negative
Hall Rental,2834,Madumi yung area nung dumating kami.,Negative
Hall Rental,2551,"Terrible and awful experience, would not go back.",Negative
Reservation,8086,Good location but service was just standard.,Neutral
Reservation,28380,Walang kupas ang ganda ng pool area.,Positive
Entrance,29036,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,11655,"The room was decent and normal, nothing special.",Neutral
Hall Rental,11109,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,8821,Madumi yung area nung dumating kami.,Negative
Entrance,19555,The service was perfect and absolutely amazing.,Positive
Entrance,23150,"Everything was superb, clean, and well-maintained.",Positive
Room,9474,"Standard amenities, fine experience for the price.",Neutral
Room,5675,"Terrible and awful experience, would not go back.",Negative
Entrance,22043,Great value for money and a relaxing vibe.,Positive
Event,8007,"Standard amenities, fine experience for the price.",Neutral
Reservation,9098,"Standard amenities, fine experience for the price.",Neutral
Entrance,2198,"Disappointing stay, a total waste of money.",Negative
Reservation,14317,Good location but service was just standard.,Neutral
Room,22714,Mabait at magalang ang mga staff dito.,Positive
Event,4917,Rude staff and very slow service at reception.,Negative
Event,26252,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,5280,"Disappointing stay, a total waste of money.",Negative
Entrance,12992,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,13462,Good location but service was just standard.,Neutral
Entrance,22916,Walang kupas ang ganda ng pool area.,Positive
Event,26393,Walang kupas ang ganda ng pool area.,Positive
Room,16100,Good location but service was just standard.,Neutral
Hall Rental,2355,Mabagal ang serbisyo at medyo disappointing.,Negative
Reservation,5237,The water was cloudy and the area was messy.,Negative
Hall Rental,19531,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,14204,Good location but service was just standard.,Neutral
Entrance,11901,"The room was decent and normal, nothing special.",Neutral
Reservation,29083,The service was perfect and absolutely amazing.,Positive
Room,9829,Medyo okay naman ang experience namin.,Neutral
Event,18292,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,10657,"Standard amenities, fine experience for the price.",Neutral
Reservation,18561,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,4370,Rude staff and very slow service at reception.,Negative
Hall Rental,16491,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,15423,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,16218,"Everything was superb, clean, and well-maintained.",Positive
Entrance,8533,Madumi yung area nung dumating kami.,Negative
Hall Rental,9289,The facilities are fine but could be better.,Neutral
Hall Rental,10292,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,8910,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,6758,Mabagal ang serbisyo at medyo disappointing.,Negative
Reservation,9481,"The room was decent and normal, nothing special.",Neutral
Reservation,2361,The water was cloudy and the area was messy.,Negative
Event,7916,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,8276,The facilities are fine but could be better.,Neutral
Reservation,2947,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,26234,The service was perfect and absolutely amazing.,Positive
Entrance,2752,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,25773,The service was perfect and absolutely amazing.,Positive
Event,26362,The service was perfect and absolutely amazing.,Positive
Room,17569,"Standard amenities, fine experience for the price.",Neutral
Entrance,17928,"Standard amenities, fine experience for the price.",Neutral
Entrance,25047,Walang kupas ang ganda ng pool area.,Positive
Entrance,8404,Mabagal ang serbisyo at medyo disappointing.,Negative
Event,12008,"It was an okay stay, average service overall.",Neutral
Entrance,27857,"Beautiful view and very friendly, helpful staff.",Positive
Room,16704,Walang kupas ang ganda ng pool area.,Positive
Event,22029,Walang kupas ang ganda ng pool area.,Positive
Event,6305,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,3823,"Disappointing stay, a total waste of money.",Negative
Event,12968,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,27135,"Everything was superb, clean, and well-maintained.",Positive
Room,27533,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,9440,Rude staff and very slow service at reception.,Negative
Room,2164,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,8801,"Disappointing stay, a total waste of money.",Negative
Room,23647,"Everything was superb, clean, and well-maintained.",Positive
Room,3296,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,14396,"The room was decent and normal, nothing special.",Neutral
Entrance,8501,Rude staff and very slow service at reception.,Negative
Room,2170,The water was cloudy and the area was messy.,Negative
Event,17203,Walang kupas ang ganda ng pool area.,Positive
Entrance,6674,Mabagal ang serbisyo at medyo disappointing.,Negative
Reservation,16636,The service was perfect and absolutely amazing.,Positive
Entrance,17086,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,22164,Great value for money and a relaxing vibe.,Positive
Entrance,22227,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,16854,The service was perfect and absolutely amazing.,Positive
Reservation,12529,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,7171,"Terrible and awful experience, would not go back.",Negative
Event,17911,"Everything was superb, clean, and well-maintained.",Positive
Reservation,9876,The water was cloudy and the area was messy.,Negative
Room,27323,Mabait at magalang ang mga staff dito.,Positive
Room,25837,Great value for money and a relaxing vibe.,Positive
Entrance,26577,Mabait at magalang ang mga staff dito.,Positive
Reservation,10839,"The room was decent and normal, nothing special.",Neutral
Hall Rental,2207,Hindi kami nasiyahan sa aming stay dito.,Negative
Hall Rental,6408,The water was cloudy and the area was messy.,Negative
Hall Rental,14308,The facilities are fine but could be better.,Neutral
Reservation,15737,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,27808,Mabait at magalang ang mga staff dito.,Positive
Room,16442,"The room was decent and normal, nothing special.",Neutral
Hall Rental,7776,"Terrible and awful experience, would not go back.",Negative
Event,9132,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,18040,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,3849,Hindi kami nasiyahan sa aming stay dito.,Negative
Hall Rental,21265,Sulit na sulit ang booking namin.,Positive
Reservation,7065,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,3381,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,23792,"Everything was superb, clean, and well-maintained.",Positive
Event,7137,Rude staff and very slow service at reception.,Negative
Entrance,11313,Good location but service was just standard.,Neutral
Reservation,8726,Medyo okay naman ang experience namin.,Neutral
Room,24540,Walang kupas ang ganda ng pool area.,Positive
Entrance,11129,"It was an okay stay, average service overall.",Neutral
Reservation,4623,Madumi yung area nung dumating kami.,Negative
Entrance,9371,"Disappointing stay, a total waste of money.",Negative
Entrance,13004,"The room was decent and normal, nothing special.",Neutral
Entrance,3867,Madumi yung area nung dumating kami.,Negative
Reservation,10931,Medyo okay naman ang experience namin.,Neutral
Room,10780,Good location but service was just standard.,Neutral
Hall Rental,27350,Great value for money and a relaxing vibe.,Positive
Event,7484,Rude staff and very slow service at reception.,Negative
Event,4500,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,6478,"Disappointing stay, a total waste of money.",Negative
Reservation,17832,The service was perfect and absolutely amazing.,Positive
Event,5832,Madumi yung area nung dumating kami.,Negative
Reservation,17087,Medyo okay naman ang experience namin.,Neutral
Entrance,22240,Great value for money and a relaxing vibe.,Positive
Reservation,14382,Medyo okay naman ang experience namin.,Neutral
Entrance,15957,Medyo okay naman ang experience namin.,Neutral
Room,3187,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,9819,Good location but service was just standard.,Neutral
Reservation,19363,"Beautiful view and very friendly, helpful staff.",Positive
Hall Rental,7244,Mabagal ang serbisyo at medyo disappointing.,Negative
Reservation,3767,"Disappointing stay, a total waste of money.",Negative
Entrance,28046,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,4897,Madumi yung area nung dumating kami.,Negative
